,Accuracy,AUC,F1 Measure,Mean CV on Train
alcoholic_1_rf_sig2_standard_scale_time_aug,0.7375,0.7887500000000001,0.7162162162162162,0.73984375
alcoholic_1_rf_sig2_time_aug,0.75625,0.7937500000000001,0.723404255319149,0.73046875
alcoholic_1_rf_sig2_ts_scale,0.74375,0.8004687500000001,0.7050359712230215,0.77578125
alcoholic_1_rf_sig2_ts_scale_standard_scale,0.74375,0.7903125,0.7210884353741497,0.76171875
alcoholic_1_rf_sig2_ts_scale_standard_scale_time_aug,0.71875,0.7796875,0.697986577181208,0.76484375
alcoholic_1_rf_sig2_ts_scale_time_aug,0.73125,0.78703125,0.6993006993006993,0.78046875
alcoholic_1_rf_ts_scale_standard_scale,0.74375,0.7903125,0.7210884353741497,0.76171875
alcoholic_1_rf_ts_scale_standard_scale_time_aug,0.71875,0.7796875,0.697986577181208,0.76484375
alcoholic_1_svc_sig1,0.5875,0.43578125,0.6826923076923077,0.48359375
alcoholic_1_svc_sig1_standard_scale,0.58125,0.6209375,0.5838509316770186,0.42890625
alcoholic_1_svc_sig1_standard_scale_time_aug,0.58125,0.6209375,0.5838509316770186,0.42890625
alcoholic_1_svc_sig1_time_aug,0.5875,0.43578125,0.6826923076923077,0.48359375
alcoholic_1_svc_sig1_ts_scale,0.5875,0.64390625,0.5822784810126582,0.43125
alcoholic_1_svc_sig1_ts_scale_standard_scale,0.6125,0.631875,0.6025641025641025,0.4390625
alcoholic_1_svc_sig1_ts_scale_standard_scale_time_aug,0.6125,0.631875,0.6025641025641025,0.4390625
alcoholic_1_svc_sig1_ts_scale_time_aug,0.575,0.646328125,0.5641025641025641,0.409375
alcoholic_1_svc_sig2,0.79375,0.8435937499999999,0.7870967741935484,0.696875
alcoholic_1_svc_sig2_standard_scale,0.7,0.7955468749999999,0.7,0.6453125
alcoholic_1_svc_sig2_standard_scale_time_aug,0.79375,0.8735937500000001,0.7924528301886793,0.64296875
alcoholic_1_svc_sig2_time_aug,0.79375,0.8435937499999999,0.7870967741935484,0.696875
alcoholic_1_svc_sig2_ts_scale,0.81875,0.88265625,0.8152866242038217,0.7484375
alcoholic_1_svc_sig2_ts_scale_standard_scale,0.8125,0.88515625,0.8076923076923076,0.734375
alcoholic_1_svc_sig2_ts_scale_standard_scale_time_aug,0.8125,0.8864062500000001,0.8076923076923076,0.7234375
alcoholic_1_svc_sig2_ts_scale_time_aug,0.81875,0.88421875,0.8152866242038217,0.75390625
alcoholic_1_svc_ts_scale_standard_scale,0.8125,0.88515625,0.8076923076923076,0.734375
alcoholic_1_svc_ts_scale_standard_scale_time_aug,0.8125,0.8864062500000001,0.8076923076923076,0.7234375
alcoholic_1_ts_knn_ts_scale,0.7625,0.8503125,0.7654320987654322,0.635546875
alcoholic_1_ts_knn_ts_scale_time_aug,0.76875,0.854140625,0.7672955974842767,0.65859375
alcoholic_1_ts_svc_ts_scale,0.75,0.8124999999999999,0.7590361445783131,0.6203125
alcoholic_1_ts_svc_ts_scale_time_aug,0.75,0.81265625,0.7590361445783131,0.6203125
alcoholic_21_ada_sig1,0.70625,0.72390625,0.7044025157232704,0.5852604166666666
alcoholic_21_ada_sig1_standard_scale,0.7,0.709375,0.7272727272727272,0.5852604166666666
alcoholic_21_ada_sig1_standard_scale_time_aug,0.7,0.709375,0.7272727272727272,0.5852604166666666
alcoholic_21_ada_sig1_time_aug,0.70625,0.72390625,0.7044025157232704,0.5852604166666666
alcoholic_21_ada_sig1_ts_scale,0.61875,0.68234375,0.6211180124223602,0.5220312500000001
alcoholic_21_ada_sig1_ts_scale_standard_scale,0.60625,0.6174999999999999,0.6227544910179641,0.5220312500000001
alcoholic_21_ada_sig1_ts_scale_standard_scale_time_aug,0.60625,0.6174999999999999,0.6227544910179641,0.5220312500000001
alcoholic_21_ada_sig1_ts_scale_time_aug,0.61875,0.68234375,0.6211180124223602,0.5220312500000001
alcoholic_21_ada_sig2,0.875,0.94078125,0.8734177215189874,0.76109375
alcoholic_21_ada_sig2_standard_scale,0.8625,0.92796875,0.8641975308641976,0.76109375
alcoholic_21_ada_sig2_standard_scale_time_aug,0.86875,0.94171875,0.8711656441717791,0.8141666666666667
alcoholic_21_ada_sig2_time_aug,0.875,0.95515625,0.8701298701298702,0.8141666666666667
alcoholic_21_ada_sig2_ts_scale,0.89375,0.946875,0.8957055214723926,0.7547395833333334
alcoholic_21_ada_sig2_ts_scale_standard_scale,0.89375,0.94921875,0.8957055214723926,0.7563020833333334
alcoholic_21_ada_sig2_ts_scale_standard_scale_time_aug,0.925,0.95609375,0.927710843373494,0.7464062499999999
alcoholic_21_ada_sig2_ts_scale_time_aug,0.91875,0.95484375,0.920245398773006,0.7464062499999999
alcoholic_21_knn_sig1,0.60625,0.6540625000000001,0.6701570680628272,0.4990885416666667
alcoholic_21_knn_sig1_standard_scale,0.61875,0.6467187499999999,0.6806282722513088,0.4988020833333333
alcoholic_21_knn_sig1_standard_scale_time_aug,0.61875,0.6467187499999999,0.6806282722513088,0.4988020833333333
